,component_1_scaled,component_2_scaled,cluster_group,component_1,component_2,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,No_
59,-0.10383321504308614,-0.16229578117963592,1,-85537.21572445553,-0.7918750049132035,40.7139,-74.007,2292.0,0,0,1,0,2MEG
60,-0.10421680592430255,-0.16581463696780138,1,-85853.21572448371,-0.8090442370663066,40.7313,-73.9892,1976.0,0,0,1,0,2MERI
61,-0.10135201326735821,-0.1646422156354669,1,-83493.21572447215,-0.803323748575758,40.7255,-73.9983,4336.0,0,0,1,0,2MILE2
62,-0.08766898664494013,-0.16704261865055897,1,-72221.21572447623,-0.8150358161079742,40.7185,-74.0025,15608.0,0,0,1,0,2MOND
63,-0.08780105844201412,-0.1678569248464817,1,-72330.01572448343,-0.8190089860709286,40.7255,-73.9983,15499.2,0,0,1,0,2NOHO
64,-0.09737043703229767,-0.16474113197877754,1,-80213.21572446814,-0.8038063820692213,40.7185,-74.0025,7616.0,0,0,1,0,2NOVEC
65,-0.10661546282685665,-0.1628115456789224,1,-87829.21572446046,-0.7943915276005953,40.7101,-74.0013,0.0,0,0,1,0,2ONDA
66,-0.09293243620444626,-0.1651672479603984,1,-76557.21572447088,-0.805885490919661,40.7339,-74.0054,11272.0,0,0,1,0,2ONO
67,-0.10640181727280515,-0.16563766420050766,1,-87653.21572448077,-0.8081807499814814,40.7152,-73.9877,176.0,0,0,1,0,2ORCH
68,-0.10406142733949306,-0.16252710409066717,1,-85725.21572446161,-0.7930036776980287,40.7339,-74.0054,2104.0,0,0,1,0,2PACR
69,-0.10509081046370415,-0.1656072958261994,1,-86573.215724483,-0.8080325763420944,40.7313,-73.9892,1256.0,0,0,1,0,2PATA
70,-0.04270426932958816,-0.17825784698294098,1,-35179.53572452209,-0.8697572569627906,40.7402,-73.9996,52649.68,0,0,1,0,2PATI
71,-0.03718375318492797,-0.17986492867676307,1,-30631.765724525532,-0.8775985441172774,40.7255,-73.9983,57197.45000000002,0,0,1,0,2PER
72,-0.09804730499225531,-0.1639538415239346,1,-80770.81572446664,-0.7999650275480781,40.7339,-74.0054,7058.4,0,0,1,0,2PERIL
73,0.22756257632582275,-0.2411986628787336,1,187464.76427526234,-1.1768586402178196,40.7339,-74.0054,275293.98,0,0,1,0,2PORES
74,-0.1062173052033503,-0.16201566260804898,1,-87501.21572445982,-0.7905082479116388,40.7339,-74.0054,328.0,0,0,1,0,2PSWV
75,-0.08082049343638112,-0.16951293262681363,1,-66579.46572448924,-0.8270889938176191,40.7255,-73.9983,21249.750000000004,0,0,1,0,2PULI
76,-0.09738694600694109,-0.1652854102311886,1,-80226.81572447659,-0.8064620293119866,40.7402,-73.9996,7602.400000000001,0,0,1,0,2REDCA
77,-0.06326415789123863,-0.17367784309371884,1,-52116.65572450385,-0.8474104616492022,40.7255,-73.9983,35712.56,0,0,1,0,2ROOF
78,-0.033903140729429716,-0.18034574924096777,1,-27929.215724529415,-0.8799445680488579,40.7402,-73.9996,59900.0,0,0,1,0,2SANDO
79,-0.10318761702333253,-0.1642067531622936,1,-85005.37572447064,-0.8011990362414184,40.7255,-73.9983,2823.84,0,0,1,0,2SAVOR
